prefix,vot,f0,f1,f2,f3,labID
stops_joseph_bata,-65.51,--undefined--,510.11,2479.74,2812.84,bata
stops_joseph_cata,13.01,110.32,498.65,1812.79,2676.94,cata
stops_joseph_data,-81.59,--undefined--,631.26,2349.44,3681.09,data
stops_joseph_gata,-70.26,--undefined--,504.75,2210.65,3330.94,gata
stops_joseph_pata,11.60,103.95,720.72,1353.60,2095.73,pata
stops_joseph_tata,17.28,108.65,494.77,1997.81,2717.23,tata
