prefix,vot,f0,f1,f2,f3,labID
stops_cris_bata,-79.27,199.65,467.78,2034.65,3001.75,bata
stops_cris_cata,20.16,209.40,451.92,1939.45,2954.89,cata
stops_cris_data,-76.98,195.49,325.11,2263.98,2910.44,data
stops_cris_gata,-60.35,--undefined--,568.67,2385.24,3017.78,gata
stops_cris_pata,6.70,229.92,709.91,1679.20,2869.05,pata
stops_cris_tata,12.61,213.75,457.26,2681.15,2952.60,data
