prefix,vot,f0,f1,f2,f3,labID
stops_esther_bata,-89.40,200.52,456.81,1790.65,2995.05,bata
stops_esther_cata,13.28,--undefined--,413.68,2143.23,2706.43,cata
stops_esther_data,-101.88,206.36,419.40,1819.82,2746.38,data
stops_esther_gata,-89.49,203.02,499.57,2124.59,2819.99,gata
stops_esther_tata,-9.89,197.79,698.25,1776.60,2988.07,tata
