prefix,vot,f0,f1,f2,f3,labID
stops_michele_bata,-80.59,218.94,881.11,2906.39,3486.39,bata
stops_michele_cata,17.70,221.49,729.60,1473.80,2674.44,cata
stops_michele_data,-69.82,209.83,848.88,1572.61,3111.96,data
stops_michele_gata,-89.17,212.97,802.78,1636.90,3131.52,gata
stops_michele_pata,-124.70,229.92,706.26,1446.63,3103.04,pata
stops_michele_tata,15.05,215.40,840.29,1318.46,2339.48,tata
