prefix,vot,f0,f1,f2,f3,labID
stops_julio_bata,-63.08,127.49,532.48,1588.18,3388.42,bata
stops_julio_cata,28.08,116.81,436.69,1697.55,3110.49,cata
stops_julio_data,-84.64,115.92,306.57,1963.31,3483.13,data
stops_julio_gata,-71.33,110.12,346.85,1929.74,3923.99,gata
stops_julio_pata,8.73,144.8,319.54,1863.54,3070.23,pata
stops_julio_tata,15.98,122.16,457.07,1527.26,3618.19,tata
